n log_a5 sigma f_out logL
1.698226055373642573e+00 -8.684657201431296158e+00 1.729239018377305426e-01 3.827486987470925250e-02 -1.391105051832257232e+04
2.578520443156515629e+00 -1.277048635850999858e+01 6.290556577509238967e-02 1.120375234050680069e-02 -1.390544464607893678e+04
2.100433373041718621e+00 -8.556835752920671112e+00 1.271224174891371073e-01 2.616591928047015334e-02 -1.386811761254027988e+04
1.966382163257186955e+00 -8.229038575432863212e+00 8.294259073438797758e-02 8.095004332352914722e-02 -1.381019034007725350e+04
1.663580663543185789e+00 -8.764771225285592493e+00 1.444286950464295505e-01 4.938931697261796094e-02 -1.344347077938240363e+04
1.186506775755792997e+00 -9.415702041869007388e+00 6.952899936868831010e-02 3.669634679116961368e-02 -1.330175065325285323e+04
1.684055966031852369e+00 -8.523702260984148182e+00 2.169853900948943148e-01 6.832665085889898238e-02 -1.324608424710343570e+04
1.007805136579458027e+00 -1.176589979486299953e+01 6.871405783881981422e-02 1.231647347240750860e-02 -1.322931779202443431e+04
2.622434140287229098e+00 -1.222485045472760490e+01 7.660310835816769304e-02 1.043906932727965003e-02 -1.313924395700454807e+04
2.739882964379028341e+00 -1.150678630416576276e+01 8.182542314001448047e-02 5.416776421038460923e-03 -1.313732277415742647e+04
2.402331755556728954e+00 -8.195862217774408265e+00 7.575505276167344981e-02 5.622451673941419870e-02 -1.301885521310228614e+04
1.727347087540594961e+00 -8.695462181296631954e+00 2.039339270307549135e-01 2.886820797161117336e-02 -1.289756608571290417e+04
2.364829908347054310e+00 -8.384178093892669992e+00 1.232530543116136246e-01 3.358709004321414060e-02 -1.281976052433437508e+04
1.365974622444946496e+00 -9.254491353171697909e+00 1.521837134907361722e-01 2.095540920350738232e-02 -1.274697603719661129e+04
1.142898342511009968e+00 -9.335179846939489323e+00 1.883623440785600622e-01 4.004498803686798447e-02 -1.261412892028803617e+04
1.962448919474498288e+00 -8.495827088661254578e+00 7.553958110555886174e-02 7.801222479648710351e-02 -1.260240770916626570e+04
1.826235971415769654e+00 -9.298872958350600015e+00 8.078694152472157275e-02 5.931252729823466990e-03 -1.258152651536748454e+04
2.073410860582425741e+00 -8.507041983697472887e+00 1.045851806547591495e-01 6.019479360065972673e-02 -1.257683871172291401e+04
2.083934427642367915e+00 -8.415850043183846552e+00 1.917519297495630104e-01 2.726649625966763926e-02 -1.238383036915654702e+04
2.218330106299667648e+00 -8.512505098910491341e+00 1.175295539872960593e-01 4.315444993776974825e-02 -1.236054051523494854e+04
1.110948590295706362e+00 -9.308978010320842600e+00 2.458564009450105448e-01 4.553855410931104825e-02 -1.215138692396993429e+04
1.417068479534885572e+00 -1.247164485087896857e+01 6.051645515045121076e-02 2.410597734582642371e-02 -1.211351487457203621e+04
1.188395401131378204e+00 -9.221551797733905431e+00 1.441223385254891132e-01 9.497743669629478414e-02 -1.203709517246324322e+04
1.640998338065008610e+00 -1.152440353532321460e+01 1.207786068985884920e-01 3.320146694457637611e-03 -1.188999676343321698e+04
1.333014218450951693e+00 -9.338351985657148191e+00 7.344830926431783480e-02 5.017706329433493928e-02 -1.187903565168918976e+04
2.200190892650423446e+00 -8.647753064942738987e+00 6.716230687302104929e-02 6.219599071754819408e-02 -1.161568727656882947e+04
2.186152430245216216e+00 -1.203434523495911357e+01 5.807527537259336153e-02 2.743134112221353935e-02 -1.160744697519701003e+04
1.632122872408705350e+00 -9.104438851574039759e+00 1.862329196310151258e-01 1.849950435180824915e-03 -1.157322112261189432e+04
2.252344929010355212e+00 -8.715857163777624095e+00 5.229844585851866484e-02 5.814141256757246468e-02 -1.149612406520726654e+04
1.074276346046270980e+00 -1.222540839693376569e+01 6.292808081673861853e-02 2.941089049492548110e-02 -1.149573107360983340e+04
1.389576946937457036e+00 -9.109041393275365550e+00 2.432154852937740697e-01 1.410565586957842656e-02 -1.141634325335540780e+04
1.948149604906860732e+00 -8.695168121959524044e+00 1.582202329783761741e-01 4.248347102802516040e-02 -1.140157006950609502e+04
2.146110413407992912e+00 -1.125206349572114206e+01 8.407017498112759335e-02 1.009565457992709497e-02 -1.137480900737431148e+04
1.206432877373923684e+00 -1.292274805742650479e+01 9.683516760727742256e-02 1.792838331125972198e-02 -1.130837088151308853e+04
1.080428393250887131e+00 -1.186801294441982257e+01 9.867548408590234854e-02 1.600699457937408005e-02 -1.130114411984033723e+04
2.067188882246183468e+00 -1.204932512400571731e+01 7.909456243645973661e-02 2.400326930269094591e-02 -1.112200600291935007e+04
1.881884715829168275e+00 -8.472908320447109176e+00 2.318731502438517444e-01 6.484647040088507841e-02 -1.098296180469620413e+04
2.190481077586662551e+00 -1.275286563313237131e+01 6.652951832656311959e-02 3.438217686900906650e-02 -1.095074560267759807e+04
1.501343312737781321e+00 -9.119757302563993306e+00 5.647173963761025622e-02 9.893289167366553505e-02 -1.094656145553495662e+04
1.135161889489441522e+00 -1.228363817249738155e+01 7.965851562355795445e-02 2.842011756118989485e-02 -1.094494869831871802e+04
2.519896312909006397e+00 -8.080510870092620479e+00 1.275804770830740731e-01 9.173625995598679028e-02 -1.091708378155601531e+04
1.174313273680329672e+00 -1.234574121759395027e+01 9.895822581758986769e-02 2.093213631371356950e-02 -1.088049379697077529e+04
2.673565113122795545e+00 -1.097477468824615343e+01 5.159953205475529409e-02 1.988912189763041363e-02 -1.086808305089088572e+04
2.513759289153862042e+00 -8.364304750328084737e+00 1.384352478069466597e-01 3.691143922862473448e-02 -1.077565977105911588e+04
1.651618115794541097e+00 -9.018767372012025163e+00 1.538978565900183115e-01 4.580771704664281935e-02 -1.075060466230698148e+04
1.832567214458354465e+00 -8.841313912675827780e+00 1.416032879249550791e-01 6.052858200991058368e-02 -1.073780973424465628e+04
