n log_a5 sigma f_out logL
2.278986927880746638e+00 -9.815562658226049564e+00 1.303059980643849758e-01 9.266090844216608169e-02 1.095497723084832160e+03
2.219028368255044015e+00 -9.866589928561630529e+00 1.433289374787884707e-01 9.361564975852756931e-02 1.095514002500515971e+03
2.179971096811413211e+00 -9.862263759021022480e+00 1.408250130400280631e-01 8.738805135164975924e-02 1.095520973306925725e+03
2.211399154764593256e+00 -9.873794562062389701e+00 1.434393864372833505e-01 9.128680493726609724e-02 1.095523344363513388e+03
2.160416105175917423e+00 -9.918582291952819929e+00 1.291321395605089517e-01 8.154009789527501273e-02 1.095553553346095669e+03
2.043093959450307917e+00 -9.953961405477180335e+00 1.335922241475530070e-01 8.094447921873569596e-02 1.095600369669502925e+03
2.049990201224686892e+00 -9.974243001005767439e+00 1.320987552192234016e-01 9.445172640064783409e-02 1.095614022912353448e+03
2.120883738663371876e+00 -9.889778038170391028e+00 1.290789133367042374e-01 7.942996083795256235e-02 1.095616585309138600e+03
2.282948135622332231e+00 -9.814106717980106254e+00 1.335470390632261251e-01 9.436269165158971128e-02 1.095623097685528819e+03
2.200436594409161728e+00 -9.890151768969388968e+00 1.436607568340978747e-01 9.767343071156620038e-02 1.095640221040500364e+03
2.209224090470553570e+00 -9.892780809276437992e+00 1.277815210350605191e-01 8.370531934533503859e-02 1.095740950093394076e+03
2.121062364325530858e+00 -9.874312179899833453e+00 1.324772800905049119e-01 8.850949064317958914e-02 1.095753406464026284e+03
2.132592970330235538e+00 -9.867555498413771886e+00 1.246228847777518939e-01 9.512753067577961463e-02 1.095763053290449307e+03
2.168327609904512787e+00 -9.875824850831385504e+00 1.405110631455370462e-01 7.996558772066177101e-02 1.095786522785685520e+03
2.114510960902153514e+00 -9.941717447588267476e+00 1.377996167757638002e-01 8.224158620219162996e-02 1.095789862132234930e+03
2.034706919990082241e+00 -9.937786460803927469e+00 1.325039946631687560e-01 8.442768415865456455e-02 1.095791245605464610e+03
2.132343589862583766e+00 -9.919115432829103796e+00 1.328430149063296595e-01 7.413577136664223355e-02 1.095796610286352916e+03
2.134432438996880954e+00 -9.921715125743178376e+00 1.396520107792433019e-01 7.712908025891684893e-02 1.095882083905788932e+03
2.257513472025588719e+00 -9.869036958761068234e+00 1.369118363753387135e-01 8.543818082560540594e-02 1.095886051810933850e+03
2.184247386286459758e+00 -9.914226997540509956e+00 1.405105705706007069e-01 9.314951587037642589e-02 1.095895118771444004e+03
2.223319887597126510e+00 -9.893611572876279681e+00 1.279961766516223287e-01 8.890284913707481584e-02 1.095912839324593733e+03
2.114150630392046537e+00 -9.951787373728471664e+00 1.376831754109561490e-01 9.576436582061736980e-02 1.095939031353510472e+03
2.198316451074259881e+00 -9.854616198897723223e+00 1.354954871718845877e-01 7.960629667248005081e-02 1.095949272430437986e+03
2.273422781283600091e+00 -9.811353629968683876e+00 1.293374859295955970e-01 9.799747349849759204e-02 1.095957083216656883e+03
2.049377718054000930e+00 -9.926816029797135954e+00 1.303945583166408739e-01 8.410880098527336035e-02 1.095958558423635623e+03
2.146363570391705444e+00 -9.904430718541600953e+00 1.331665191933998904e-01 7.269914862368193065e-02 1.095992836242775866e+03
2.006460045139150772e+00 -9.962065501690748448e+00 1.326395456391140648e-01 9.064242695083669921e-02 1.096000771887535848e+03
2.061244978987317289e+00 -9.904190950758557932e+00 1.299995158710099408e-01 9.401735017179001230e-02 1.096001159812983815e+03
2.061763198907042849e+00 -9.900647639857755422e+00 1.297396297681261967e-01 9.799457671278127835e-02 1.096014373638734241e+03
2.276887926327984868e+00 -9.835895313191619138e+00 1.369720378073282507e-01 8.714910205328185722e-02 1.096025067923552342e+03
2.258554869154202116e+00 -9.837714195263126626e+00 1.319151622998477880e-01 8.285422526592256531e-02 1.096047770137382031e+03
2.124731375534063993e+00 -9.936909557945904581e+00 1.411370201348104425e-01 9.019840191488620595e-02 1.096055181261505822e+03
2.026165787317709466e+00 -9.966160450802911797e+00 1.383700565961566431e-01 9.312032342024988141e-02 1.096069119523155905e+03
2.238602280094434960e+00 -9.831678255657143595e+00 1.242375035514986792e-01 9.401706403829029890e-02 1.096097476289711039e+03
2.091979224466900433e+00 -9.939576425955385375e+00 1.278219087124936038e-01 8.197384032295450262e-02 1.096115727488311222e+03
2.163315912209253788e+00 -9.874025394117779797e+00 1.428706208680991796e-01 9.741756969343456918e-02 1.096118676926303124e+03
2.143411623573179714e+00 -9.907091186380622361e+00 1.242798344779103697e-01 8.296253062451658389e-02 1.096122281721827221e+03
2.072167814495861293e+00 -9.955229499634791424e+00 1.356076553710531818e-01 8.250237521937385521e-02 1.096165833803717305e+03
2.099590809175339245e+00 -9.942837091118175152e+00 1.218240460987017743e-01 9.660053396632155287e-02 1.096180627626643854e+03
2.281637339959958766e+00 -9.851297903298291914e+00 1.353539832465416592e-01 8.751485146640637647e-02 1.096217565326197928e+03
2.204431585696807083e+00 -9.902821755295128980e+00 1.410544808361143265e-01 9.848415725295933676e-02 1.096228623174858967e+03
2.161826470024245772e+00 -9.882418453115672463e+00 1.238766740205431566e-01 8.369523229208009063e-02 1.096234964153952888e+03
2.236685632462001472e+00 -9.878219619450646860e+00 1.389525171771664180e-01 8.509306786251742694e-02 1.096248662571251771e+03
2.196620523600683939e+00 -9.854158104893318892e+00 1.406326596058139478e-01 9.169211111463167196e-02 1.096262072903901299e+03
2.167583670881850111e+00 -9.919435703454393405e+00 1.221023295052452717e-01 9.864359843111546178e-02 1.096270528174326046e+03
2.172064846778128278e+00 -9.898954711587091282e+00 1.424761251366684633e-01 8.325669288757779618e-02 1.096287728674820301e+03
2.197355838707464759e+00 -9.905508200386638151e+00 1.339733192802378126e-01 8.250077797803533064e-02 1.096298148287586628e+03
2.096124752443874861e+00 -9.961114228872608223e+00 1.307546682153751250e-01 9.697048505918118289e-02 1.096301514343729878e+03
2.168448253546569227e+00 -9.894412045137762846e+00 1.208842791912282805e-01 9.028055701105264230e-02 1.096304233367822235e+03
2.184154656272533579e+00 -9.893029428742531550e+00 1.185911227695777281e-01 9.849884774249652308e-02 1.096310499442960463e+03
2.198781428002228644e+00 -9.847422302828807261e+00 1.400572015717714280e-01 9.953982618640844215e-02 1.096334679911056355e+03
2.259592076941201455e+00 -9.852333543333068988e+00 1.208247606628987114e-01 9.884518724329115213e-02 1.096337225193261474e+03
2.193208654650977252e+00 -9.899418964056799553e+00 1.402236116716173431e-01 8.277352796370313071e-02 1.096349901897582185e+03
2.192033674197204185e+00 -9.869266578633473230e+00 1.310662436986329005e-01 7.622120265554997720e-02 1.096368379628895127e+03
2.142802420388609352e+00 -9.918490290030012702e+00 1.424577255059666925e-01 8.582916957778437272e-02 1.096387988540202514e+03
2.109367056388331996e+00 -9.940876390101630378e+00 1.311195521114908447e-01 8.152587698257889037e-02 1.096392873364151001e+03
2.015269314414760427e+00 -9.961338184118174510e+00 1.330287666020312787e-01 8.845375337022454154e-02 1.096407268453558572e+03
2.196795223298453337e+00 -9.918536409195077397e+00 1.341711929146611748e-01 9.715181848789217200e-02 1.096410082344525790e+03
2.159034712587250215e+00 -9.872301541074484987e+00 1.217940671921483448e-01 9.070482007557650883e-02 1.096417131765905424e+03
2.109776566434762302e+00 -9.909137239534985042e+00 1.433501068959152080e-01 9.271973976064007417e-02 1.096437199278722574e+03
2.245681487974959367e+00 -9.861100688779778523e+00 1.273156257456145024e-01 8.444021904134370315e-02 1.096439536892653450e+03
2.102112260567375213e+00 -9.954327191520851770e+00 1.383878242315795537e-01 9.651514073557554418e-02 1.096457822078106119e+03
2.261121755694363689e+00 -9.847949640239781033e+00 1.410669995057327597e-01 9.723280140799263338e-02 1.096460099995139899e+03
2.023490278194613801e+00 -9.946739078860758809e+00 1.383231233042748753e-01 9.523832384911071203e-02 1.096470519433792106e+03
2.058896044593677033e+00 -9.910097816801366477e+00 1.235310101187807874e-01 9.838233398591078593e-02 1.096492621393875424e+03
2.121067898009359354e+00 -9.913226301393468276e+00 1.214112723922907283e-01 8.916327191601330915e-02 1.096502926417652816e+03
2.171647574791478963e+00 -9.904377454033644668e+00 1.374209872432443080e-01 7.590074074953467864e-02 1.096504631807604255e+03
2.069757237711347120e+00 -9.903031954683946481e+00 1.295581625259618619e-01 9.073887070269950894e-02 1.096506922825345100e+03
2.077672759664663360e+00 -9.901641337720235470e+00 1.253680062033575848e-01 9.221163443608265675e-02 1.096516484810841575e+03
2.286785500638565338e+00 -9.850025136935201431e+00 1.278859758916019995e-01 9.246198267444175056e-02 1.096551864693899461e+03
2.123586400851378286e+00 -9.929606223644855234e+00 1.332521177039344695e-01 7.722623146945629957e-02 1.096568289036330725e+03
2.245345261890539845e+00 -9.880875979988248403e+00 1.298375340130222266e-01 8.846607325282618284e-02 1.096574696076441796e+03
2.141444074620881377e+00 -9.877750998207762478e+00 1.413186944635554942e-01 9.504917431235895831e-02 1.096581028806117502e+03
2.166940107074212918e+00 -9.854993266522793505e+00 1.243238155854252680e-01 9.413136439111383091e-02 1.096595930055975714e+03
2.306075500975921955e+00 -9.850050683457777012e+00 1.327144135334393238e-01 9.990221946180605217e-02 1.096647453048651641e+03
2.036038526470941079e+00 -9.935205747713402147e+00 1.376279097720843891e-01 9.149948709891796150e-02 1.096657478147578104e+03
2.064204315810845181e+00 -9.902247890005735798e+00 1.272193490507890212e-01 9.693846884710027867e-02 1.096671260749350267e+03
2.126609460949848263e+00 -9.920950239588457009e+00 1.318400217955256193e-01 7.563520223916926633e-02 1.096689813114523076e+03
2.073464753825180029e+00 -9.930155786265554951e+00 1.240435986249136396e-01 8.717453100976975400e-02 1.096703704076660415e+03
2.229811009291168045e+00 -9.875315459307795862e+00 1.332401446415761304e-01 7.921019691269515217e-02 1.096739108253719451e+03
2.161904309721500717e+00 -9.861631626436036413e+00 1.393987041414050387e-01 9.629861836483628867e-02 1.096783784797773251e+03
2.319544690851543578e+00 -9.813186231768874279e+00 1.302798420993927508e-01 9.938912286082085545e-02 1.096795029779435481e+03
2.193535642213383596e+00 -9.877203056489653576e+00 1.422646415777500950e-01 8.520319587244136461e-02 1.096801916735620125e+03
2.151125182586019591e+00 -9.898464934360820422e+00 1.441114449768128025e-01 9.588682178211155316e-02 1.096829060816138508e+03
2.104435978574866972e+00 -9.950955159004603701e+00 1.392537474137212072e-01 9.646275647139695986e-02 1.096852913640188945e+03
2.136795205520353846e+00 -9.868104582290648352e+00 1.227026870891968074e-01 9.771509791253564503e-02 1.096858474571014995e+03
2.243039314518765259e+00 -9.842158094487512443e+00 1.209445126268525877e-01 9.752144458322140053e-02 1.096864887107387176e+03
2.116745835111551344e+00 -9.905003733258485710e+00 1.403465076479314400e-01 7.964674079320339939e-02 1.096874257355085319e+03
2.233544248475581639e+00 -9.868024598752809240e+00 1.258415049171190125e-01 8.591184658047207323e-02 1.096902370332758892e+03
2.207904425231428824e+00 -9.837510679180764939e+00 1.288544969854907851e-01 9.112517003715658870e-02 1.096936749786495056e+03
2.070839570565612853e+00 -9.944310111098685567e+00 1.351357133230768892e-01 7.885568040113938304e-02 1.096962777859025891e+03
2.031867541680139055e+00 -9.952397000541896688e+00 1.354847656069548267e-01 8.536414072231282568e-02 1.096964418281877442e+03
2.199948994606000241e+00 -9.871468509920454437e+00 1.246447096441509611e-01 8.418974626904662806e-02 1.096977097944821026e+03
2.084984128963734307e+00 -9.932496151932785011e+00 1.417305117905406919e-01 8.616935752685983552e-02 1.096981236017535139e+03
2.205407367752425962e+00 -9.871612842617192740e+00 1.399196530358936819e-01 7.998616921893536569e-02 1.097011500721445827e+03
2.196323086339452502e+00 -9.915482291962085526e+00 1.360174267821283867e-01 9.524650528621331214e-02 1.097015758563039071e+03
2.065703526207212093e+00 -9.926079298070821011e+00 1.404873197577753141e-01 8.950643736775190651e-02 1.097025946337919322e+03
2.247874939897559265e+00 -9.879826611075918308e+00 1.306997430182609832e-01 8.882016594513658658e-02 1.097029015640256148e+03
2.052895727656312452e+00 -9.920851733410518847e+00 1.302636114697559300e-01 8.701745500217777929e-02 1.097045445088744145e+03
2.081587596096525772e+00 -9.937549920078822652e+00 1.425141271778174734e-01 9.369947822639319857e-02 1.097056967481779566e+03
2.226146816122398508e+00 -9.857147687641763412e+00 1.368192566027708335e-01 7.933083598420982707e-02 1.097074264210429419e+03
2.241783912712898896e+00 -9.843309567552791961e+00 1.383769485634142316e-01 8.664128975030818691e-02 1.097077346955968551e+03
2.289344874088171000e+00 -9.836142045370277032e+00 1.259077185247176045e-01 9.450137225114529915e-02 1.097107230221455211e+03
2.299139503988000044e+00 -9.822647161533648585e+00 1.365084558575377360e-01 9.865260604338599304e-02 1.097119321386311412e+03
2.149663843676273611e+00 -9.881785443348483966e+00 1.354307398578422916e-01 7.668374497681385016e-02 1.097124207809185236e+03
2.146886859874496789e+00 -9.916477939872320846e+00 1.400783327616104690e-01 8.001215045567283690e-02 1.097136618949969716e+03
2.105606873166818716e+00 -9.943336239989884362e+00 1.382700458905116170e-01 8.440535947198557487e-02 1.097140161082389113e+03
2.137600097273689492e+00 -9.939476178766021519e+00 1.357722628386049957e-01 9.008484163758502528e-02 1.097149584613494881e+03
2.169491863361060702e+00 -9.921741366536721785e+00 1.272748484829566706e-01 9.136481431117339513e-02 1.097169307097867659e+03
2.021417369347080495e+00 -9.955366211195025627e+00 1.236546801665706630e-01 9.838702723993890398e-02 1.097171726143728392e+03
2.205887973529309320e+00 -9.882530919189054686e+00 1.315127963910506792e-01 7.757787103599672607e-02 1.097174373075426729e+03
2.171129429502386188e+00 -9.864350353951026662e+00 1.284598189634826859e-01 8.275491361523618083e-02 1.097213961084554285e+03
2.142046801042547521e+00 -9.867908678684154111e+00 1.304312969341260287e-01 8.713139144290958649e-02 1.097214832211405337e+03
2.139238598172467309e+00 -9.874394920800295239e+00 1.307389697212822943e-01 8.324613762363670955e-02 1.097231840192304389e+03
2.286029867169269814e+00 -9.843184949703637443e+00 1.302080045413743226e-01 8.929149579880966969e-02 1.097246721175894663e+03
2.045932819502869204e+00 -9.923635451633975535e+00 1.277727613485956926e-01 9.086616564179057776e-02 1.097264126737542938e+03
2.203650893555191281e+00 -9.877790893986531984e+00 1.273940031037302245e-01 8.084342418418682952e-02 1.097284689445515596e+03
2.186492187775745943e+00 -9.900633534792346424e+00 1.380527407332350631e-01 7.950212486221137909e-02 1.097311611827558863e+03
2.102494588312672441e+00 -9.949113274989482392e+00 1.366127574003654921e-01 8.708284216895705032e-02 1.097317456916677884e+03
2.100719242208874959e+00 -9.943875780053030411e+00 1.361994142007672548e-01 8.188279877748955160e-02 1.097318816694401448e+03
2.125444380176492842e+00 -9.927107748724775860e+00 1.418098922403812079e-01 8.716122894998723503e-02 1.097320999000756274e+03
2.104311079234475468e+00 -9.906880543323680399e+00 1.419840750778134097e-01 9.047136516698661701e-02 1.097357943146597108e+03
2.154586802898491360e+00 -9.917989340807395138e+00 1.349525703136077726e-01 7.837868662550821763e-02 1.097359892766979328e+03
2.176041574801288014e+00 -9.897574905673057089e+00 1.428984464805898580e-01 8.965760784286752605e-02 1.097377789068507809e+03
2.118114576932740079e+00 -9.933908214198194031e+00 1.376135828187943222e-01 8.029103012070026857e-02 1.097386984690800318e+03
2.030632382916570222e+00 -9.943305479667921887e+00 1.337477796603979696e-01 8.688627764699241585e-02 1.097402370109324238e+03
2.122569885896690600e+00 -9.888776627584636714e+00 1.364460577539971520e-01 8.085854202983273897e-02 1.097431269219582191e+03
2.152347403863060560e+00 -9.874913796491984641e+00 1.401718476734858665e-01 8.821619540567955664e-02 1.097434871249275147e+03
2.139942910261442677e+00 -9.917381001186759804e+00 1.433859908634914082e-01 9.747874764697650463e-02 1.097447255952167325e+03
2.102814031652265214e+00 -9.956699790045366427e+00 1.282756003383276888e-01 9.910270057624823159e-02 1.097447372205991996e+03
2.071024907250913927e+00 -9.927212527215596438e+00 1.403545617417335800e-01 8.689841849405541274e-02 1.097470713053265627e+03
2.214556065302132559e+00 -9.836981427533826761e+00 1.363396030079805643e-01 9.459980354579058948e-02 1.097488044350816836e+03
1.999707851084540300e+00 -9.961228013420416971e+00 1.330702157694280130e-01 9.747803874474701702e-02 1.097521215059421138e+03
2.223912433807994304e+00 -9.886807979749846709e+00 1.238856015818880218e-01 9.447609214275357048e-02 1.097565186102552843e+03
2.303156464664736447e+00 -9.839214660068995144e+00 1.269395975971510659e-01 9.851538087775396635e-02 1.097588290009146931e+03
2.094335789128361824e+00 -9.911939948104457443e+00 1.380986564272857486e-01 8.000120408974825681e-02 1.097595758012192391e+03
2.055893902500566028e+00 -9.964502465452499180e+00 1.374396300457069175e-01 9.344750341792079640e-02 1.097600889514284290e+03
2.120064032935521148e+00 -9.920203323873247214e+00 1.381252755218957406e-01 7.640451750649647489e-02 1.097614717623757997e+03
2.080098096469792601e+00 -9.956355530319996205e+00 1.334328218754669004e-01 8.684655476853621325e-02 1.097624169613055528e+03
2.102729025426512521e+00 -9.936738447470180091e+00 1.298805062731743232e-01 8.112192826282423053e-02 1.097632052081150505e+03
2.063129175322434783e+00 -9.918551849232706275e+00 1.374830465856382022e-01 8.844667179994596118e-02 1.097635731694651440e+03
2.075984238917263358e+00 -9.898385432559912545e+00 1.340493563496563123e-01 9.480745003740190247e-02 1.097648654918148623e+03
2.150415451234536590e+00 -9.907505299194435011e+00 1.287859759140272953e-01 7.843696806859618009e-02 1.097650454238629209e+03
2.022230189774030684e+00 -9.957071720749574695e+00 1.258210585850466912e-01 9.478543856924644129e-02 1.097658312616573767e+03
2.140021478183061099e+00 -9.907085653612851317e+00 1.425366924661814472e-01 8.549593130264838969e-02 1.097701827992852031e+03
2.040588391228644216e+00 -9.946203347270472506e+00 1.354498773931043787e-01 8.446052284254844389e-02 1.097723737093913769e+03
2.132424920261153822e+00 -9.933436779506985559e+00 1.323256223155543088e-01 8.310144866356231064e-02 1.097730501726020975e+03
2.220117565565403517e+00 -9.835545381585198754e+00 1.343866384025049210e-01 9.126726327394250882e-02 1.097744401460974359e+03
2.224158017220865702e+00 -9.830497828713447461e+00 1.243159995244591115e-01 9.950070601522334468e-02 1.097755077576351596e+03
2.052352124955040935e+00 -9.940029562732782153e+00 1.348263092163530796e-01 8.174767028514789979e-02 1.097769902293837049e+03
2.220056013711759313e+00 -9.871497018084735231e+00 1.207200315534434493e-01 9.561861289578471590e-02 1.097778160380575173e+03
2.255393138966629962e+00 -9.849315637350350983e+00 1.257322439794372748e-01 8.921118903384338272e-02 1.097786228040732112e+03
2.116335159722558146e+00 -9.940695829412327100e+00 1.392543753482888558e-01 8.923318356753121017e-02 1.097794716496183355e+03
2.171777071441937768e+00 -9.873489328598639148e+00 1.290979123706072484e-01 7.938188934004428154e-02 1.097805776782114663e+03
2.039181620583459420e+00 -9.954559709501989317e+00 1.348707938369336778e-01 8.519069879975756099e-02 1.097858572801819946e+03
2.296811772321030176e+00 -9.847441332603949604e+00 1.356809749284622613e-01 9.864766709189157212e-02 1.097871883700772742e+03
2.189770069798612440e+00 -9.842977363487918296e+00 1.302560837164340457e-01 9.282281268039933864e-02 1.097879810632427962e+03
2.140633682417234951e+00 -9.892312503792327405e+00 1.305137414277251495e-01 7.688091224847989902e-02 1.097892148425270761e+03
2.234800295065755726e+00 -9.829716261602506222e+00 1.349594994460393549e-01 9.442373982960189371e-02 1.097897977240797445e+03
2.088575144487766266e+00 -9.915908295463061961e+00 1.276601161552755048e-01 8.195345819297544798e-02 1.097901666896961615e+03
2.124875740188619577e+00 -9.908304621355666697e+00 1.186398665647623307e-01 9.735987868890044750e-02 1.097954669814620729e+03
2.238227408816828579e+00 -9.862822751812963418e+00 1.401922547907004102e-01 8.834354636995164767e-02 1.097966671445015209e+03
2.051161330866107413e+00 -9.958522132453593301e+00 1.257985470987276200e-01 9.328201292700845360e-02 1.097977145229443749e+03
2.205999244259384540e+00 -9.852269648407574465e+00 1.221978641908470081e-01 9.361595589434998366e-02 1.097989614027374500e+03
2.031768737682368986e+00 -9.934532460488606276e+00 1.368020962623326953e-01 9.728800896179559676e-02 1.098019675561773056e+03
2.240269548372506137e+00 -9.873359720483176005e+00 1.368782932302220479e-01 8.454758820067881375e-02 1.098022265510259786e+03
2.201527037875026238e+00 -9.843564157514727242e+00 1.254745109932879910e-01 9.315238609761170019e-02 1.098030905774689472e+03
2.108237901248410928e+00 -9.916105964389672067e+00 1.389026483925192568e-01 7.823633294833126639e-02 1.098054462401338242e+03
2.161183494143622319e+00 -9.915394893277424515e+00 1.258010478229672491e-01 8.783165206860908680e-02 1.098056567982265278e+03
2.143370888121004292e+00 -9.922185758394117983e+00 1.227117224054890404e-01 9.363399320654502977e-02 1.098089202187867613e+03
2.154510778331907517e+00 -9.917725971986911304e+00 1.421611615912851678e-01 9.662879948491326365e-02 1.098105326958061141e+03
2.287272711382037471e+00 -9.854238652369575746e+00 1.357800196017556749e-01 9.706757274350577558e-02 1.098116892949622979e+03
2.292861481149024883e+00 -9.813185813346498421e+00 1.310293057087996704e-01 9.884897081094590199e-02 1.098127620205134008e+03
2.198932146326295189e+00 -9.902132480389298053e+00 1.285448670683140837e-01 8.737060947861485793e-02 1.098130270517068539e+03
2.268086330997878264e+00 -9.860913254117138038e+00 1.361649873050494730e-01 9.010701440821271280e-02 1.098137493626465584e+03
2.273759981787947027e+00 -9.849158364798022092e+00 1.262906035990619680e-01 9.262304795198539331e-02 1.098138557395757744e+03
2.190560716243430406e+00 -9.864738184553289102e+00 1.242258812504071080e-01 8.701876529401716964e-02 1.098141030654544466e+03
2.212061358702624325e+00 -9.855201885152954588e+00 1.350792546491971502e-01 8.062069309269959128e-02 1.098148189184349121e+03
2.235329026072625513e+00 -9.871665527437492926e+00 1.230190072056811385e-01 9.404787111979857894e-02 1.098149605770247035e+03
2.249501371177849762e+00 -9.873614887716902544e+00 1.287641435958273295e-01 8.949296017011959536e-02 1.098154884175328561e+03
2.175128017139403624e+00 -9.851979991283226212e+00 1.260224374226331656e-01 9.349215438451285998e-02 1.098208299367841164e+03
2.154365851329144821e+00 -9.910533322706314152e+00 1.271276331943647087e-01 8.241986045061666655e-02 1.098213608509814094e+03
2.271299594091879648e+00 -9.840237050403992214e+00 1.392296500968439044e-01 9.864590967495823204e-02 1.098226882659076182e+03
2.134274624259094644e+00 -9.890436873945184004e+00 1.406064567741986959e-01 8.564768973342355707e-02 1.098236645380126674e+03
2.008902316268676103e+00 -9.968635417495633533e+00 1.320376528451433495e-01 9.515291899122713115e-02 1.098240958698099348e+03
2.265449117402538626e+00 -9.841399094822101290e+00 1.229663666663644989e-01 9.682159133173290355e-02 1.098252081826335598e+03
2.235738946388561743e+00 -9.883374715232555729e+00 1.316776898614627767e-01 8.708968028690870777e-02 1.098269767076403241e+03
2.108237808179352690e+00 -9.897458062335442008e+00 1.382589210433163851e-01 8.446572302223287476e-02 1.098273508432487233e+03
2.092538970989438862e+00 -9.903916565459553567e+00 1.278378310162086029e-01 8.473147543480863408e-02 1.098276168284630785e+03
2.038434607685306155e+00 -9.944361541112426650e+00 1.339138348352448826e-01 8.543422697618498207e-02 1.098279944539581265e+03
2.123569439803720371e+00 -9.890461238587608506e+00 1.354079221876782757e-01 8.009659411766331671e-02 1.098297862240150153e+03
2.003519975916595364e+00 -9.958947681111508743e+00 1.313030348437426165e-01 9.686185138295944075e-02 1.098310863999117146e+03
2.160651656752373917e+00 -9.924942406898164649e+00 1.381917520873038874e-01 9.101757271729477017e-02 1.098323149598821374e+03
2.021448127643842518e+00 -9.962098873983107339e+00 1.248552877687331558e-01 9.883092590981480685e-02 1.098323485535648160e+03
2.154084961390928754e+00 -9.908487493203832486e+00 1.420240081878430816e-01 8.684941129304946106e-02 1.098325811320348066e+03
2.081068542546419486e+00 -9.938160515183325217e+00 1.360993606402139955e-01 7.947031497361937979e-02 1.098359952801983354e+03
2.199160554800745793e+00 -9.900345123132325398e+00 1.257298824754438105e-01 9.101961187910906359e-02 1.098365055515500899e+03
2.057221215198676845e+00 -9.952019301229759307e+00 1.378548839816263194e-01 8.656576345918505500e-02 1.098365867321539099e+03
2.107246876541276848e+00 -9.907761189105638522e+00 1.396853122206856423e-01 8.234307128310867918e-02 1.098368740643000365e+03
2.273474979070833957e+00 -9.861975820589291786e+00 1.279655686568527961e-01 9.478134281511166326e-02 1.098374899135295436e+03
2.175270558371734886e+00 -9.923878639400157908e+00 1.348740685057435162e-01 9.408853049208427965e-02 1.098418267688146216e+03
2.122827509164997295e+00 -9.938723201193841561e+00 1.359878621282797351e-01 8.551967411628202953e-02 1.098419148110563356e+03
2.117703016157337803e+00 -9.912634296431400927e+00 1.426170149632091932e-01 9.039780714253842220e-02 1.098422287943089486e+03
2.123023391022618611e+00 -9.923180841677368136e+00 1.322626921025457092e-01 7.758448027805106562e-02 1.098425009365269034e+03
2.191790246495219030e+00 -9.867503826360076502e+00 1.420790413369009964e-01 9.650308582365446641e-02 1.098449373499607191e+03
2.259993175335697657e+00 -9.868627451051123600e+00 1.387817540500569935e-01 9.978346234239256207e-02 1.098452338231642898e+03
2.050525302142538031e+00 -9.954066656551528780e+00 1.360741054882132484e-01 8.560033203280265068e-02 1.098462455787373074e+03
2.048769613353051966e+00 -9.922227848166066622e+00 1.265642230396968604e-01 9.342642252165231365e-02 1.098462949154390117e+03
2.219838848869684078e+00 -9.848026240339521564e+00 1.347714321326472509e-01 8.350740899216181623e-02 1.098482470368790473e+03
2.081411755687826215e+00 -9.938281293453455234e+00 1.343914852087575995e-01 7.925812360233470966e-02 1.098504695141801676e+03
2.107394589534234086e+00 -9.896999595421743123e+00 1.335811414892213722e-01 8.106103278137799517e-02 1.098507100932374442e+03
2.123489004642718392e+00 -9.939529229210613437e+00 1.322276949649808520e-01 8.632143628588964668e-02 1.098510395574651284e+03
2.036973737313585886e+00 -9.961558779525478968e+00 1.387037612681016052e-01 9.835525813459204680e-02 1.098510564396614200e+03
2.076813580307826257e+00 -9.905705533417823005e+00 1.272483321188732086e-01 9.010451695802070005e-02 1.098523269548954204e+03
2.179093905865601144e+00 -9.905120736730646414e+00 1.416962587668785523e-01 9.404433528896938288e-02 1.098551600764356408e+03
2.016425234798209232e+00 -9.969984503236133833e+00 1.342992395128099758e-01 9.584200372618140173e-02 1.098555988203015659e+03
2.066718905791765870e+00 -9.949704773121032630e+00 1.262337157137601307e-01 8.969878574630073265e-02 1.098558486578563134e+03
2.166252839617376580e+00 -9.872015763329160976e+00 1.400627301577829220e-01 8.797336266057118048e-02 1.098581971965998491e+03
2.127748584256991204e+00 -9.885953038881108768e+00 1.200405715122305067e-01 9.754890531275253740e-02 1.098587740409754133e+03
2.147983081368012748e+00 -9.925480565478814299e+00 1.391753818380305763e-01 8.804896344382308337e-02 1.098603208864044063e+03
2.039111559417292163e+00 -9.968200817816722292e+00 1.262959676944728216e-01 9.899206653558274838e-02 1.098615042206780345e+03
2.265446995529815766e+00 -9.857863967061472721e+00 1.361530600335222885e-01 8.887858317902154470e-02 1.098666944083257476e+03
2.066564798012188398e+00 -9.952704267242941327e+00 1.402050252588931678e-01 9.711270370952412856e-02 1.098680741567382256e+03
2.235590011768807894e+00 -9.876101737389982205e+00 1.395968571679484793e-01 9.170862154155420831e-02 1.098682105773866397e+03
2.155576567491892526e+00 -9.890230124967034797e+00 1.319847612272417869e-01 7.621142472279458790e-02 1.098693623850886070e+03
2.086267782984611685e+00 -9.951666142315636066e+00 1.289765253640234310e-01 8.930655694854472415e-02 1.098696551051011056e+03
2.065386352701171990e+00 -9.919995664695175464e+00 1.221239316555163407e-01 9.637331365907877978e-02 1.098706687579182926e+03
2.232714629927087913e+00 -9.856637131537347329e+00 1.248546629352423193e-01 8.870831145220084424e-02 1.098712457450258853e+03
2.183148201034331048e+00 -9.847562438009372698e+00 1.287296205800248228e-01 9.270938353255953057e-02 1.098714382102223453e+03
